image,variation,short_caption_bn,long_desc_bn,logic_bn,poetic_bn,visual_tags_en,context_tags_en,authenticity,safety,scene_details,color_details
251.jpg,2,একটি নববিবাহিত দম্পতির বিয়ের অনুষ্ঠানের পিছন থেকে তোলা দৃশ্য।,"ছবিতে একটি বর ও কনেকে ঐতিহ্যবাহী পোশাকে দেখা যাচ্ছে; বরের পরনে সোনালী কারুকাজ করা শেরওয়ানি এবং কনের পরনে লাল ওড়না, যা একটি জমকালো বিয়ের অনুষ্ঠানের পরিবেশ ও আভিজাত্য ফুটিয়ে তুলছে।",এটি একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠান যেখানে দম্পতি তাদের নতুন জীবনের যাত্রা শুরু করছে।,ঝিলমিলে আলোর মাঝে ভালোবাসার বন্ধনে আবদ্ধ দুটি প্রাণ আগামীর নতুন স্বপ্নে বিভোর।,"Groom, Bride, Sherwani, Turban, Red Veil, Wedding Dress, Embroidery, Bokeh lights","South Asian Wedding, Marriage Ceremony, Traditional Attire, Romantic Couple, Celebration, Cultural Event",Real,Safe,"Indoor, Wedding Hall, Low lighting with decorative bokeh","Gold, Red, Cream, Warm Yellow, Black"
251.jpg,3,একটি নবদম্পতি তাদের বিয়ের অনুষ্ঠানে ঐতিহ্যবাহী পোশাকে দাঁড়িয়ে আছে।,"ছবিতে বর একটি কারুকার্যমণ্ডিত শেরওয়ানি এবং পাগড়ি পরেছেন, আর কনে একটি চমৎকার লাল লেহেঙ্গা এবং ওড়না জড়িয়ে বরের পাশে দাঁড়িয়ে আছেন। তাদের পেছনের আলোকসজ্জা এক মোহনীয় পরিবেশ তৈরি করেছে।",এটি একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠান যেখানে বর-কনে বিয়ের সাজে সজ্জিত।,অন্ধকারের মাঝে আলোকচ্ছটা যেন নবজীবনের এক নতুন স্বপ্নিল সূচনার ইঙ্গিত দেয়।,"Groom, Bride, Sherwani, Pagri, Lehenga, Veil, Embroidery, Wedding Stage, Bokeh Lights, Traditional Attire","South Asian Wedding, Marriage Ceremony, Cultural Tradition, Romantic Atmosphere, Celebration, Newlyweds",Real,Safe,"Indoor, Wedding hall, Low lighting with bokeh, Nighttime","Gold, Red, Cream, Dark Brown, Warm Yellow"
251.jpg,4,ঐতিহ্যবাহী পোশাকে নবদম্পতির একটি সুন্দর মুহূর্ত।,ছবিতে একটি নবদম্পতিকে পিছন থেকে দেখা যাচ্ছে; বর সোনালী কারুকাজ করা শেরওয়ানি ও পাগড়ি পরেছেন এবং কনে লাল এমব্রয়ডারি করা ওড়না জড়িয়ে বরের পাশে নিবিড়ভাবে দাঁড়িয়ে আছেন।,একটি ঐতিহ্যবাহী বিয়ের অনুষ্ঠানে নবদম্পতি তাদের নতুন পথচলার শুরুতে উৎসবের আমেজে অংশ নিচ্ছেন।,প্রদীপের আলোয় ঝিলমিল করা পোশাকে যেন রচিত হচ্ছে এক নতুন স্বপ্নের কাব্য।,"groom, bride, sherwani, turban, embroidery, red veil, bokeh lights, wedding outfit","South Asian wedding, marriage, tradition, cultural celebration, romantic atmosphere, indoor ceremony",Real,Safe,"Indoor, night, warm decorative lighting with bokeh","Gold, Red, Black, Warm Yellow"
251.jpg,5,একটি বিয়ের অনুষ্ঠানে বর ও কনের সুন্দর পিছনের দৃশ্য।,ছবিতে একটি বর ও কনেকে উৎসবমুখর পরিবেশে দাঁড়িয়ে থাকতে দেখা যাচ্ছে। বরের পরনে কারুকার্যখচিত শেরওয়ানি ও পাগড়ি এবং কনের পরনে লাল রঙের ঐতিহ্যবাহী পোশাক ও ওড়না রয়েছে।,এটি একটি দক্ষিণ এশীয় বা মুসলিম বিয়ের অনুষ্ঠানের মুহূর্ত যা আভিজাত্য প্রকাশ করে।,অন্ধকারের মাঝে আলোকচ্ছটার নিচে দুটি প্রাণের এক হওয়ার নতুন যাত্রার শুরু।,"Groom, Bride, Sherwani, Turban, Wedding dress, Embroidery, Veil, Lights","South Asian Wedding, Muslim Wedding, Nikah, Marriage, Festive, Traditional attire, Bokeh background, Romantic",Real,Safe,"Indoor, Night, Festive lighting, Warm glow","Golden, Red, Black, Yellow"
252.jpg,1,একটি নবদম্পতি তাদের গায়ে হলুদের অনুষ্ঠানে ঐতিহ্যবাহী পোশাকে একে অপরের মুখোমুখি দাঁড়িয়ে আছেন।,ছবিতে বরকে একটি গাঢ় সবুজ পাঞ্জাবিতে এবং কনেকে হলুদ ও সবুজ রঙের শাড়িতে দেখা যাচ্ছে। কনে ফুলের গয়না পরেছেন এবং তাদের দুজনের কপাল একে অপরের সাথে স্পর্শ করা অবস্থায় আছে।,এটি একটি গায়ে হলুদের অনুষ্ঠানের দৃশ্য যেখানে বর ও কনে আবেগঘন মুহূর্ত ভাগ করে নিচ্ছেন।,"দুই হৃদয়ের নীরব মিলন, যেখানে ফুলের সুবাস আর ভালোবাসার রঙ মিশে একাকার হয়ে গেছে।","Panjabi, Saree, Flower jewelry, Henna, Wedding stage, Couple, Flowers","Bangladeshi wedding, Gaye Holud, Traditional attire, Romantic moment, Marriage, Festive",Real,Safe,"Indoor, Wedding stage, Bright warm lighting","Deep Green, Yellow, Golden, Red, White"
252.jpg,2,হলুদের সাজে নবদম্পতির একটি আবেগঘন মুহূর্ত।,ছবিতে একটি বর ও কনেকে গায়ে হলুদের ঐতিহ্যবাহী পোশাকে দেখা যাচ্ছে। বর সবুজ পাঞ্জাবি এবং কনে হলুদ-সবুজ শাড়ি ও ফুলের গয়না পরে নিবিড়ভাবে দাঁড়িয়ে একে অপরের সান্নিধ্য উপভোগ করছেন।,এটি একটি বাঙালি বিয়ের আগের অনুষ্ঠান বা গায়ে হলুদের বিশেষ মুহূর্তের ছবি।,হৃদয়ের মিলনে দুই প্রাণের এক নিবিড় বন্ধন যেন এই মুহূর্তটিকে কাব্যিক করে তুলেছে।,"Saree, Panjabi, Jewelry, Flowers, Henna, Couple, Traditional clothing, Decoration","Wedding ceremony, Gaye Holud, Bengali culture, Romance, Celebration, Tradition",Real,Safe,"Indoor, Wedding stage, Warm artificial lighting","Green, Orange, Yellow, Red, White"
252.jpg,3,গায়ে হলুদের অনুষ্ঠানে নবদম্পতির একটি সুন্দর ও আবেগপূর্ণ মুহূর্ত।,"ছবিতে একটি নবদম্পতিকে দেখা যাচ্ছে, যেখানে বর একটি গাঢ় সবুজ পাঞ্জাবি এবং কনে একটি উজ্জ্বল হলুদ শাড়ি ও ফুলের গয়না পরে একে অপরের খুব কাছাকাছি দাঁড়িয়ে আবেগঘন মুহূর্ত ভাগ করছেন।",এটি একটি বাঙালি বিয়ের গায়ে হলুদের অনুষ্ঠানের দৃশ্য যেখানে বর-কনে প্রথাগত সাজে সজ্জিত।,বসন্তের রঙে রাঙানো দুটি প্রাণ যেন ভালোবাসার স্নিগ্ধ ছোঁয়ায় এক হয়ে মিশে গেছে।,"Man, Woman, Saree, Panjabi, Floral jewelry, Mehendi, Flowers, Veil","Bengali wedding, Gaye Holud ceremony, Traditional attire, Romantic couple, Cultural celebration, South Asian wedding",Real,Safe,"Indoor event, wedding stage decoration, soft artificial lighting","Dark green, bright yellow, red, white, orange"
252.jpg,4,একটি নবদম্পতি তাদের গায়ে হলুদের অনুষ্ঠানে মমতাপূর্ণ মুহূর্তে।,সবুজ পাঞ্জাবি পরা একজন পুরুষ এবং হলুদ-সবুজ শাড়ি ও ফুলের গয়না পরা একজন নারী একে অপরের কপালে কপাল ঠেকিয়ে আছেন। তাদের চারপাশে উৎসবমুখর রঙিন ফুলের সাজসজ্জা এবং স্নিগ্ধ আলোকসজ্জা রয়েছে।,বাঙালি বিয়ের গায়ে হলুদ অনুষ্ঠানের একটি আবেগঘন ও ঐতিহ্যবাহী মুহূর্ত।,দুই হৃদয়ের মিলন মেলায় স্নিগ্ধ ভালোবাসার এক অপূর্ব কাব্যিক প্রতিফলন।,"Man, woman, green Panjabi, yellow saree, floral jewelry, henna, veil, flowers, wedding attire","Bengali wedding, Gaye Holud ceremony, romantic moment, cultural tradition, South Asian couple, festive atmosphere",Real,Safe,"Indoor, festive environment, soft golden lighting","Green, Yellow, Orange, Red, White"
252.jpg,5,একটি ঐতিহ্যবাহী বাঙালি বিয়ের অনুষ্ঠানে বর ও কনের আবেগময় মুহূর্ত।,ছবিতে দেখা যাচ্ছে বর গাঢ় সবুজ পাঞ্জাবি পরেছেন এবং কনে হলুদ-সবুজ শাড়ি ও ফুলের গয়না পরে পরস্পরের কপালে কপাল ঠেকিয়ে ঘনিষ্ঠ ও সুন্দর মুহূর্তে অবস্থান করছেন।,এটি একটি বাঙালি বিয়ের গায়ে হলুদের অনুষ্ঠান যেখানে দম্পতি তাদের বিশেষ দিনটি উদযাপন করছেন।,দুটি হৃদয়ের মিলন যেন রঙের উৎসবে এক পবিত্র ভালোবাসার বন্ধনে আবদ্ধ হয়েছে।,"Groom, Bride, Panjabi, Saree, Floral jewelry, Mehndi, Forehead touching, Wedding stage, Flowers","Bengali wedding, Gaye Holud, South Asian culture, Traditional ceremony, Love, Marriage",Real,Safe,"Indoor, wedding stage, bright artificial warm lighting","Green, Yellow, Orange, Red, White"
253.jpg,1,একটি সুসজ্জিত মঞ্চে একটি পরিবার ঐতিহ্যবাহী অনুষ্ঠানে বসে আছে।,ছবিতে একটি সুসজ্জিত বিয়ের মঞ্চে ঐতিহ্যবাহী পোশাকে একটি পরিবার বসে আছে। পেছনে রঙিন ফুলের কারুকাজ ও সবুজ পর্দা এবং সামনে একটি সোনালী টেবিল সাজানো যা উৎসবের আমেজ ফুটিয়ে তুলছে।,এটি মূলত কোনো বাঙালি বিয়ের বা গায়ে হলুদের অনুষ্ঠানের পারিবারিক মুহূর্তের ছবি।,রঙিন সাজসজ্জা এবং হাসিমুখগুলো উৎসবের এক আনন্দঘন মুহূর্তকে জীবন্ত করে তুলেছে।,"People, Traditional clothing, Stage decoration, Flowers, Golden table, Green curtains, Celebration, Family","Bengali wedding, Gaye Holud, Cultural event, Festive mood, Family gathering, Tradition",Real,Safe,"Indoor, Event hall, Bright artificial lighting","Golden, Green, Red, Yellow, Pink"
253.jpg,2,একটি সুন্দরভাবে সাজানো মঞ্চে পরিবারের সাথে একটি নবদম্পতির বিশেষ মুহূর্ত।,"ছবিতে একটি উৎসবমুখর পরিবেশে বর-কনেকে তাদের পরিবারের সদস্যদের সাথে দেখা যাচ্ছে। রঙিন ফুলের সজ্জা, সোনালী টেবিল এবং ঐতিহ্যবাহী পোশাকে সাজানো এই দৃশ্যটি একটি প্রাণবন্ত অনুষ্ঠানের প্রতিচ্ছবি ফুটিয়ে তোলে।",এটি সম্ভবত একটি বাঙালি বিয়ের গায়ে হলুদের অনুষ্ঠান যেখানে আত্মীয়-স্বজনরা একত্রিত হয়েছে।,"রঙের মেলায় গাঁথা হয়েছে এক আত্মীয়তার বন্ধন, যেখানে প্রতিটি হাসি এক একটি সুখের গল্প।","People, Bride, Groom, Children, Traditional Attire, Floral Background, Golden Tablecloth, Red Carpet, Sweets, Stage","Bengali Wedding, Gaye Holud, Family Gathering, Celebration, Cultural Tradition, Festive Mood, South Asian Ceremony",Real,Safe,"Indoor, Event Stage, Bright Decorative Lighting","Gold, Red, Green, Yellow, Orange, Pink"
253.jpg,3,একটি ঐতিহ্যবাহী বাঙালি গায়ে হলুদের অনুষ্ঠানে নবদম্পতি ও তাদের পরিবারের সদস্যরা।,একটি সুসজ্জিত স্টেজে নবদম্পতি ও তাদের আত্মীয়স্বজনরা বসে আছেন। ব্যাকগ্রাউন্ডে সবুজ পর্দা এবং রঙিন ফুলের কারুকাজ পুরো পরিবেশটিকে ঐতিহ্যবাহী ও আকর্ষণীয় করে তুলেছে যা সুন্দর এক উৎসবের আমেজ দেয়।,এটি একটি বিয়ের আগের গায়ে হলুদের অনুষ্ঠান যা পারিবারিক মিলনমেলার ইঙ্গিত দেয়।,উৎসবের রঙে রাঙানো এক টুকরো আনন্দঘন মুহূর্ত যা ঐতিহ্যের কথা বলে।,"Bride, Groom, Traditional attire, Flowers, Stage decoration, Family, Saree, Kurta, Gold table cloth, Sofa","Bengali wedding, Gaye Holud, Celebration, Cultural ceremony, South Asian tradition, Family gathering, Indoor event",Real,Safe (The image depicts a standard cultural family event),"Indoor, Wedding hall decoration, Bright artificial lighting","Green, Gold, Yellow, Red, Pink"
253.jpg,4,একটি ঐতিহ্যবাহী গায়ে হলুদের অনুষ্ঠানে নবদম্পতি এবং তাদের পরিবারের সদস্যরা।,উজ্জ্বল সাজসজ্জার মঞ্চে হলুদ পোশাকে কনে ও বরের সাথে পরিবারের সদস্যরা আনন্দঘন মুহূর্তে বসে আছেন। সামনে টেবিলের ওপর রকমারি খাবার এবং মঞ্চের পেছনের দেয়ালে দৃষ্টিনন্দন ফুলের কারুকাজ শোভা পাচ্ছে।,এটি একটি বাঙালি বিয়ের প্রাক-অনুষ্ঠান যেখানে আত্মীয়স্বজনরা মিলে উৎসব উদযাপন করছে।,হলুদ রঙের আবহে চারপাশ এক মায়াবী ও উৎসবমুখর স্নিগ্ধতায় ভরে উঠেছে।,"bride, groom, stage decoration, flowers, traditional clothing, family, table, food, children, sofa","Gaye Holud, Bengali wedding, celebration, culture, tradition, family gathering, indoor event",Real,Safe. The image depicts a normal social gathering without any harmful content.,"Indoor, evening, bright artificial lighting, festive stage environment.","Gold, Yellow, Red, Green, Pink."
253.jpg,5,একটি সুসজ্জিত মঞ্চে পরিবারের সদস্যদের সাথে নবদম্পতি।,"ছবিতে উজ্জ্বল আলোকসজ্জায় সজ্জিত একটি বিয়ের মঞ্চ দেখা যাচ্ছে, যেখানে বর-কনে এবং তাদের আত্মীয়স্বজনরা ঐতিহ্যবাহী পোশাকে বসে আছেন এবং সামনে খাবার সাজানো একটি রাজকীয় সোনালী টেবিল রয়েছে।",এটি একটি পারিবারিক অনুষ্ঠান বা বিয়ের আয়োজনের আনন্দঘন মুহূর্ত ফুটিয়ে তুলেছে।,আলোকোজ্জ্বল এই আবহে ভালোবাসার বন্ধন আর ঐতিহ্যের সংমিশ্রণ এক অপূর্ব ছন্দের সৃষ্টি করেছে।,"wedding stage, traditional attire, flowers, golden table, family, saree, panjabi, green backdrop, fairy lights","Bengali wedding, Gaye Holud, celebration, family gathering, cultural ceremony, festive mood, indoor event",Real,Safe,"Indoor, wedding stage, bright artificial lighting","Golden, Green, Red, Orange, Pink"
254.jpg,1,একটি আবেগময় বিদায় অনুষ্ঠানের দৃশ্য যেখানে কনেকে তার পরিবার সান্ত্বনা দিচ্ছে।,"সাদাকালো এই ছবিতে একজন কনে অত্যন্ত আবেগপ্রবণ হয়ে কাঁদছেন। তার পরিবারের সদস্যরা তাকে পরম মমতায় ঘিরে ধরে সান্ত্বনা দিচ্ছেন, যা দক্ষিণ এশীয় বিয়ের বিদায় মুহূর্তের বা বিদায়ের একটি গভীর মর্মস্পর্শী দৃশ্য।",বিয়ের পর বাপের বাড়ি ছেড়ে যাওয়ার সময় কনের আবেগঘন বিদায় মুহূর্ত।,বিচ্ছেদের বিষাদ আর নতুন জীবনের সন্ধিক্ষণে এক পশলা আবেগের বৃষ্টি।,"Bride, Wedding jewelry, Crying, Comforting, Family, Traditional attire, Bangles, Black and white, Nose ring","Wedding farewell, Emotional moment, South Asian wedding, Vidaai, Cultural ritual, Family bond, Sadness, Tradition",Real,Safe,"Indoor, Wedding ceremony, Low contrast black and white lighting","Monochrome, Black, White, Shades of grey"
254.jpg,2,একটি বিদায় অনুষ্ঠানের আবেগঘন মুহূর্ত যেখানে নববধূ এবং তার পরিবার একে অপরকে জড়িয়ে ধরে কাঁদছেন।,"এই সাদা-কালো স্থিরচিত্রে একটি বিদায় অনুষ্ঠানের অত্যন্ত আবেগঘন মুহূর্ত ফুটে উঠেছে, যেখানে গয়না পরিহিত কান্নারত নববধূকে তার পরিবারের সদস্যরা পরম মমতায় জড়িয়ে ধরে সান্ত্বনা এবং ভালোবাসার পরশ দিচ্ছেন।",এটি একটি দক্ষিণ এশীয় বিয়ের বিদায় অনুষ্ঠান যেখানে প্রিয়জনদের ছেড়ে যাওয়ার সময় আবেগের বহিঃপ্রকাশ ঘটে।,বিদায়ের সুর আর কান্নার নোনা জলে মাখা এই বিষাদময় মুহূর্তটি যেন এক চিরন্তন বিচ্ছেদের কাব্য।,"Bride, Wedding jewelry, Bangle, Saree, Tears, Hug, Forehead kiss, Traditional attire, Hands, Emotional expression","Bidaai ceremony, South Asian wedding, Farewell, Family bond, Emotional moment, Cultural ritual, Black and white photography, Sadness, Love",Real,Safe,"Indoor, wedding venue, dramatic lighting, black and white","Black, White, Gray tones."
254.jpg,3,একটি বিদায়ের আবেগঘন মুহূর্ত।,"সাদাকালো এই ছবিতে একটি বিয়ের বিদায় অনুষ্ঠানের অত্যন্ত আবেগপূর্ণ দৃশ্য দেখা যাচ্ছে, যেখানে কনে কাঁদছেন এবং তার পরিবারের সদস্যরা তাকে জড়িয়ে ধরে সান্ত্বনা দিচ্ছেন ও আশীর্বাদ করছেন।",বিয়ের বিদায় বেলায় পরিবারের বিচ্ছেদের বেদনা ও ভালোবাসার বহিঃপ্রকাশ।,নয়নের জল আর হৃদয়ের টান মিলে এক বিষণ্ণ মধুর কাব্যের সৃষ্টি করেছে।,"Bride, Groom, Jewelry, Saree, Tears, Bangles, Hands, Wedding dress","Wedding farewell, Bidaay ceremony, Emotional moment, Family bond, South Asian culture, Tradition",Real,Safe,"Indoor, Wedding ceremony, High contrast lighting","Black and White, Grayscale."
254.jpg,4,একটি আবেগঘন বিয়ের বিদায়ের দৃশ্য যেখানে কনেকে সবাই সান্ত্বনা দিচ্ছে।,সাদা-কালো এই ছবিতে কনেকে কান্নাকাটি করতে দেখা যাচ্ছে এবং তার প্রিয়জনরা তাকে জড়িয়ে ধরে সান্ত্বনা দিচ্ছে। পোশাকে কারুকাজ এবং গয়না বিয়ের ঐতিহ্যবাহী পরিবেশ ফুটিয়ে তুলেছে।,বিয়ের পর বিদায় বেলায় পরিবারের সদস্যদের ছেড়ে যাওয়ার কষ্টে কনে আবেগপ্রবণ হয়ে পড়েছেন।,বিচ্ছেদের বিষাদ আর ভালোবাসার স্পর্শ মিলেমিশে এক হৃদস্পর্শী কাব্য তৈরি করেছে।,"Bride, Jewelry, Saree, Emotional moment, Hands, Wedding attire, Crying, Black and white","South Asian wedding, Emotional farewell, Family bonding, Tradition, Sadness, Love",Real,Safe,"Indoor, Wedding ceremony, Dramatic lighting","Black, White, Gray tones"
254.jpg,5,বিয়ের বিদায় মুহূর্তের একটি আবেগঘন দৃশ্য।,ছবিতে কনেকে বিদায় দেওয়ার এক হৃদয়স্পর্শী দৃশ্য ফুটে উঠেছে। কালো-সাদা এই ফ্রেমে কনের চোখের জল এবং স্বজনদের ভালোবাসামাখা সান্ত্বনা এক গভীর শোকাতুর ও মায়াবী পরিবেশ তৈরি করেছে।,বিয়ের পর বাপের বাড়ি ছেড়ে যাওয়ার সময় কনের আবেগপ্রবণ হয়ে পড়া স্বাভাবিক।,বিদায়ের বিষাদ যেন কান্নার নোনা জলে মাখা এক অব্যক্ত হাহাকার।,"Bride, Saree, Jewelry, Tears, Forehead kiss, Bangles, Wedding attire, Emotions, Monochrome","Bengali wedding, Bidaay ceremony, Farewell, Emotional moment, Cultural ritual, Family bond, Tradition",Real,Safe,"Indoor, wedding venue, dramatic emotional lighting, monochrome finish","Black, White, Grayscale."
255.jpg,1,একটি জমকালো বিয়ের অনুষ্ঠানে বরের প্রবেশ এবং অতিথিদের আনন্দঘন মুহূর্ত।,একটি বিশাল হলরুমে উজ্জ্বল আলোকসজ্জার নিচে বরকে লাল কাপড় দিয়ে ঢেকে নিয়ে আসা হচ্ছে। আশেপাশে শাড়ি পরিহিত মহিলারা ঐতিহ্যবাহী সাজে উৎসবটি উদযাপন করছেন এবং পুরো পরিবেশটি উৎসবমুখর আমেজে পূর্ণ।,এটি একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠান যেখানে বরকে বরণ করে নেওয়া হচ্ছে।,হাজারো আলোর মিছিলে স্বপ্নের মতো এক মায়াবী উৎসবের প্রতিচ্ছবি ফুটে উঠেছে এখানে।,"string lights, groom, red fabric, sari, traditional clothing, crowd, banquet hall, lamps, ceremony, guests","South Asian wedding, celebration, cultural ritual, festive atmosphere, indoor event, family gathering, Bengali tradition",Real,Safe,"Indoor, banquet hall, warm string lighting, evening celebration","Golden, red, yellow, dark brown, black."
255.jpg,2,একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠানে আলোকসজ্জার নিচে ঐতিহ্যবাহী পোশাকে অতিথিদের ভিড়।,একটি জাঁকজমকপূর্ণ বিয়ের অনুষ্ঠানে ছাদ থেকে অসংখ্য সোনালী আলোকসজ্জা ঝুলছে। ঐতিহ্যবাহী রঙিন পোশাকে সজ্জিত অতিথিরা আনন্দের সাথে উৎসবে মেতেছেন এবং একটি লাল চাদরের নিচে বরকে নিয়ে যাওয়া হচ্ছে।,এটি একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠান যেখানে অতিথিরা আনন্দ ও উৎসবে সমবেত হয়েছেন।,"আলোকোজ্জ্বল এই রাতে যেন নক্ষত্ররা নেমে এসেছে উৎসবের মিলনমেলায়, যেখানে ঐতিহ্যের আভা ছড়িয়ে আছে।","People, Sarees, Fairy lights, Red cloth, Hall, Traditional clothing, Crowd, Wedding decorations","Wedding, South Asian culture, Celebration, Ceremony, Festive, Indoor event, Cultural gathering",Real,Safe,"Indoor, banquet hall, warm artificial lighting, night","Golden, Red, Yellow, Black, Orange"
255.jpg,3,একটি ঐতিহ্যবাহী দক্ষিণ এশীয় বিয়ের অনুষ্ঠানে উৎসবমুখর পরিবেশ।,বিশাল এক হলরুমে আলোকসজ্জার নিচে অনেক মানুষ ঐতিহ্যবাহী পোশাকে সজ্জিত হয়ে বিবাহ উৎসবে মেতেছে। ছবির মাঝখানে একটি লাল চাদরের নিচে এক ব্যক্তিকে নিয়ে মিছিলের মতো এগিয়ে যেতে দেখা যাচ্ছে।,এটি সম্ভবত একটি গায়ে হলুদ বা বিয়ের অনুষ্ঠান যেখানে বরকে বরণ করা হচ্ছে।,হাজারো আলোকবিন্দুর নিচে আনন্দ আর ঐতিহ্যের এক অপূর্ব মিলনমেলা বসেছে এখানে।,"Wedding hall, fairy lights, traditional clothing, sari, panjabi, red cloth, crowd, indoor event","South Asian wedding, cultural ceremony, festivities, gathering, marriage ritual, golden lighting",Real,Safe,"Indoor, event hall, warm artificial lighting","Gold, Red, Yellow, Dark Brown, White."
255.jpg,4,একটি আলোকসজ্জিত হলের মধ্যে ঐতিহ্যবাহী দক্ষিণ এশীয় বিয়ের আনন্দঘন পরিবেশ।,জমকালো আলোকসজ্জায় সজ্জিত একটি কমিউনিটি সেন্টারে বিয়ের অনুষ্ঠান চলছে। বরকে লাল চাদরের নিচে বরণ করা হচ্ছে এবং অতিথিরা রঙিন শাড়ি ও পাঞ্জাবি পরে উৎসবে মেতে উঠেছেন।,এটি একটি ঐতিহ্যবাহী বিয়ের অনুষ্ঠানের দৃশ্য যেখানে পরিবারের সদস্যরা বরণ কাজে ব্যস্ত।,সোনালী আলোর মায়াজালে আবদ্ধ এক টুকরো উৎসবমুখর প্রাণবন্ত জীবনের প্রতিচ্ছবি।,"wedding hall, fairy lights, saree, punjabi, red cloth, crowd, guests, decorations, candles, celebration","south asian wedding, cultural event, marriage ceremony, family gathering, indoor celebration, festive atmosphere",Real,Safe. The image contains a standard family wedding celebration.,"Evening, indoor banquet hall, warm festive lighting.","Golden, Red, Yellow, Black, Maroon."
255.jpg,5,একটি জমকালো বিয়ের অনুষ্ঠানে বরকে লাল চাদরের নিচে বরণ করে নেওয়া হচ্ছে।,ছবিটিতে একটি আলোকিত বিয়ের হল দেখা যাচ্ছে যেখানে অসংখ্য মানুষ ঐতিহ্যবাহী পোশাকে সজ্জিত। মাঝখানে কয়েকজন লাল চাদর ধরে কাউকে নিয়ে আসছেন এবং চারপাশ সোনালী আলোকসজ্জায় ঝলমল করছে।,এটি একটি দক্ষিণ এশীয় বিয়ের অনুষ্ঠান যেখানে বরকে বরণ করে নেওয়া হচ্ছে।,আলোকোজ্জ্বল এই উৎসব যেন সহস্র প্রদীপের শিখায় এক স্বর্গীয় আবহের সৃষ্টি করেছে।,"wedding hall, fairy lights, traditional clothes, sari, kurta, red dupatta, crowd, gold lighting, indoor event","South Asian wedding, cultural celebration, marriage ceremony, festive mood, reception, gathering, tradition",Real,Safe,"Indoor, banquet hall, festive night lighting, golden warm glow","Gold, Red, Yellow, Black, Maroon"
256.jpg,1,একটি নবদম্পতি তাদের বিয়ের রাতে একটি রোমান্টিক মুহূর্তে ফ্রেমবন্দি হয়েছেন।,"ছবিতে বর কনের কপালে আলতো করে চুমু খাচ্ছে। কনে লাল শাড়ি এবং ভারী স্বর্ণের গয়না পরে আছে, আর বর পরেছে সাদা শেরওয়ানি। অন্ধকার পরিবেশে উষ্ণ আলো তাদের ভালোবাসাকে সুন্দরভাবে ফুটিয়ে তুলেছে।",এটি একটি ঐতিহ্যবাহী দক্ষিণ এশীয় বিয়ের অনুষ্ঠান পরবর্তী দম্পতির ঘনিষ্ঠ ও আবেগপূর্ণ মুহূর্তের ছবি।,অন্ধকারের মাঝে যেন এক টুকরো স্নিগ্ধ আলো আর ভালোবাসার এক অনন্য কাব্যিক বহিঃপ্রকাশ।,"Groom, Bride, Jewelry, Saree, Sherwani, Forehead kiss, Gold ornaments, Henna, Wedding attire","South Asian Wedding, Romance, Tradition, Intimacy, Celebration, Marriage, Culture, Warm Lighting",Real,Safe,"Indoor, dark background, warm spot lighting, romantic atmosphere","Red, Gold, White, Cream, Black"
256.jpg,2,একটি নববিবাহিত দম্পতির অন্তরঙ্গ এবং রোমান্টিক মুহূর্তের দৃশ্য।,ছবিতে ঐতিহ্যবাহী বিয়ের পোশাকে সজ্জিত বরকে তার কনের কপালে গভীর ভালোবাসায় চুমু খেতে দেখা যাচ্ছে। অন্ধকারের মাঝে মৃদু আলো তাদের স্বর্ণালঙ্কার এবং পোশাকের কারুকাজকে অত্যন্ত সুন্দরভাবে ফুটিয়ে তুলেছে।,এটি একটি ঐতিহ্যবাহী বিয়ের অনুষ্ঠানের পর দম্পতির মধ্যকার গভীর ভালোবাসা ও শ্রদ্ধার বহিঃপ্রকাশ।,অন্ধকারের বুক চিরে আসা এই আলোর ছটা যেন প্রেমের এক অমর উপাখ্যান রচনা করছে।,"groom, bride, jewelry, sherwani, saree, gold, necklace, forehead kiss, dark background","wedding photography, South Asian wedding, romantic, marriage, traditional attire, cultural, intimacy",Real,Safe,"Indoor, dark setting, warm dramatic lighting from a low angle","Golden, Red, Cream, Dark Brown"
256.jpg,3,একটি রোমান্টিক মুহূর্তে নবদম্পতি।,"লাল শাড়িতে সুসজ্জিত কনে এবং সাদা শেরওয়ানি পরা বরের একটি অন্তরঙ্গ মুহূর্ত, যেখানে বর কনের কপালে গভীর ভালোবাসায় চুমু খাচ্ছে এবং চারপাশ নিবিড় অন্ধকারে ঘেরা এক অপূর্ব দৃশ্য।",এটি একটি ঐতিহ্যবাহী দক্ষিণ এশীয় বিবাহের রোমান্টিক এবং অন্তরঙ্গ মুহূর্তের একটি শিল্পসম্মত ফটোশুট।,অন্ধকারের বুক চিরে প্রেমের এক স্নিগ্ধ আলো যেন এই পবিত্র বন্ধনকে চিরস্থায়ী করে তুলেছে।,"Bride, Groom, Saree, Sherwani, Jewelry, Forehead kiss, Gold ornaments","Indian wedding, Bengali wedding, Romance, Intimacy, Traditional attire, Celebration",Real,Safe,"Indoor, Low-light, Nighttime atmosphere, Warm spotlights","Red, Gold, Cream, Black"
